BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction,OccupancyFallback
7538121,-72.85712,40.757422,RES1-3SNB,RES,R13N,623895.31,311947.65,11.0169,12.5169,Above DFE,0,0
7539268,-72.858724,40.751151,RES1-1SWB,RES,R11B,252801.12,126400.56,4.9695,6.9695,Under DFE,0,0
7539270,-72.858352,40.751598,RES1-1SWB,RES,R11B,244796.26,122398.13,6.2294,8.2294,Under DFE,0,0
7539272,-72.858372,40.750758,RES1-2SNB,RES,R12N,278841.17,139420.58,4.7872,5.2872,Under DFE,0,0
7539275,-72.858738,40.750928,RES1-3SNB,RES,R13N,513314.36,256657.18,3.9973,4.4973,Under DFE,0,0
7539277,-72.858698,40.750536,RES1-1SNB,RES,R11N,146058.59,73029.3,3.0074,3.5074,Under DFE,0,0
7539279,-72.85841,40.750571,RES1-1SWB,RES,R11B,184610.9,92305.45,3.64,5.64,Under DFE,0,0
7539280,-72.858732,40.750281,RES1-1SWB,RES,R11B,159447.35,79723.68,2.8362,4.8362,Under DFE,0,0
7539283,-72.858345,40.750932,RES1-1SNB,RES,R11N,127737.28,63868.64,5.4939,5.9939,Under DFE,0,0
7539285,-72.858323,40.751363,RES1-1SNB,RES,R11N,159508.19,79754.1,5.6659,6.1659,Under DFE,0,0
7539287,-72.858381,40.750414,RES1-1SWB,RES,R11B,164612.16,82306.08,3.533,5.533,Under DFE,0,0
7539289,-72.858282,40.751852,RES1-1SWB,RES,R11B,160755.98,80377.99,6.2584,8.2584,Under DFE,0,0
7539290,-72.858294,40.751146,RES1-1SWB,RES,R11B,197387.88,98693.94,6.031,8.031,Under DFE,0,0
7539292,-72.858738,40.75138,RES1-1SNB,RES,R11N,314451.87,157225.93,4.8896,6.3896,Under DFE,0,0
7539294,-72.858612,40.750269,RES1-1SWB,RES,R11B,131102.68,65551.34,3.1967,5.1967,Under DFE,0,0
7539296,-72.858313,40.750245,RES1-1SWB,RES,R11B,142176.88,71088.44,3.1886,5.1886,Under DFE,0,0
7539298,-72.858742,40.751611,RES1-1SNB,RES,R11N,114406.54,57203.27,5.6071,6.1071,Under DFE,0,0
7539435,-72.859208,40.759225,RES1-1SNB,RES,R11N,224811.75,112405.87,9.4925,9.9925,Under DFE,0,0
7539437,-72.859213,40.758144,RES1-1SWB,RES,R11B,344603.28,172301.64,8.266,10.266,Above DFE,0,0
7539439,-72.859145,40.760137,IND6,NONRES,I6LN,NaN,NaN,11.7131,12.2131,Above DFE,0,0
7539441,-72.858943,40.758651,RES1-2SNB,RES,R12N,158080.77,79040.39,11.3525,11.8525,Above DFE,0,0
